academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2003,Midwestern State University,Wichita Falls,TX,76308-209,Public,21,4870,3978806,3064,28.515625
2003,University of North Texas,Denton,TX,76203-127,Public,15,24007,13502020,3400,38.7870855148
2003,Our Lady of the Lake University-San Antonio,San Antonio,TX,78207-468,Private Not-For-Profit,21,2262,2746707,13682,37.6344086022
2003,Prairie View A & M University,Prairie View,TX,77446,Public,21,6226,8946154,3232,37.1090448014
2003,Rice University,Houston,TX,77005,Private Not-For-Profit,15,4590,848780,17692,90.4694167852
2003,Saint Edward's University,Austin,TX,78704,Private Not-For-Profit,22,3186,2557823,13620,53.2033426184
2003,Sam Houston State University,Huntsville,TX,77341,Public,21,11040,7189508,2848,34.5892526251
2003,St Marys University,San Antonio,TX,78228-857,Private Not-For-Profit,21,3729,2874359,15227,63.3136094675
2003,Southern Methodist University,Dallas,TX,75275-022,Private Not-For-Profit,15,9180,2472000,21942,71.6920609463
2003,Southwestern Assemblies of God University,Waxahachie,TX,75165,Private Not-For-Profit,51,1490,1889558,7678,37.1929824561
2003,Southwestern University,Georgetown,TX,78626,Private Not-For-Profit,31,1253,450138,17570,73.4939759036
2003,Stephen F Austin State University,Nacogdoches,TX,75962,Public,21,9959,8603959,2486,35.4237288136
2003,Texas State University-San Marcos,San Marcos,TX,78666,Public,21,20953,13774903,3750,46.4178464178
2003,Southwestern Adventist University,Keene,TX,76059,Private Not-For-Profit,32,890,984633,10628,34.2696629213
2003,Sul Ross State University,Alpine,TX,79832,Public,21,2120,3867989,2546,17.5
2003,Tarleton State University,Stephenville,TX,76402-000,Public,21,6705,6470591,2618,43.1932773109
2003,Texas A & M University-Kingsville,Kingsville,TX,78363,Public,16,5248,9119494,2922,22.3830734967
2003,Texas A & M University at Galveston,Galveston,TX,77554,Public,31,1462,835586,3466,37.4301675978
2003,Texas A & M University,College Station,TX,77843,Public,15,41968,15444588,4748,75.1985735127
2003,The University of Texas at Austin,Austin,TX,78712,Public,15,143214,123905904,3950,50.7727073917
2003,Texas Christian University,Fort Worth,TX,76129,Private Not-For-Profit,16,7306,2338635,16340,65.2084757348
2003,Texas Lutheran University,Seguin,TX,78155-599,Private Not-For-Profit,32,1301,1058511,14550,53.8461538462
2003,Texas Southern University,Houston,TX,77004,Public,16,8705,16953244,2298,19.3597560976
2003,Texas Tech University,Lubbock,TX,79409-500,Public,15,24961,12310316,3867,53.7100279416
2003,Texas Wesleyan University,Fort Worth,TX,76105-153,Private Not-For-Profit,22,2155,1298324,11276,33.3333333333
2003,Texas Woman's University,Denton,TX,76201,Public,16,6073,4859723,2720,34.6835443038
2003,Trinity University,San Antonio,TX,78212-720,Private Not-For-Profit,21,2538,755388,17854,74.8055987558
2003,Wayland Baptist University,Plainview,TX,79072,Private Not-For-Profit,21,2873,2475377,8450,35.6846473029
2003,West Texas A & M University,Canyon,TX,79016-000,Public,21,5463,5306423,2420,35.7142857143
2003,Brigham Young University,Provo,UT,84602,Private Not-For-Profit,15,29729,23458552,3060,73.6828512397
2003,Brigham Young University-Hawaii,Laie,HI,96762-129,Private Not-For-Profit,32,2455,1182645,2490,29.3447293447
2003,Southern Utah University,Cedar City,UT,84720,Public,22,5050,6383317,2350,34.2771982116
2003,Utah State University,Logan,UT,84322-140,Public,15,17581,18545568,2898,41.2614980289
2003,Utah Valley State College,Orem,UT,84058-599,Public,33,16864,16805412,2196,45.1388888889
2003,University of Utah,Salt Lake City,UT,84112-900,Public,15,22930,13499000,3324,51.1722731906
2003,Weber State University,Ogden,UT,84408-113,Public,22,13610,11437320,2426,40.9914204004
2003,Westminster College,Salt Lake City,UT,84105,Private Not-For-Profit,21,1991,1508581,15990,54.5454545455
2003,Champlain College,Burlington,VT,05401,Private Not-For-Profit,33,1945,1118634,12295,65.7657657658
2003,Middlebury College,Middlebury,VT,05753,Private Not-For-Profit,31,2903,554250,35900,91.6221033868
2003,Norwich University,Northfield,VT,05663-103,Private Not-For-Profit,21,1850,1120000,17160,50.8771929825
2003,Saint Michaels College,Colchester,VT,05439,Private Not-For-Profit,21,2287,731210,21200,74.6212121212
2003,Vermont Technical College,Randolph Center,VT,05061-050,Public,54,7560,8880797,6488,36.3636363636
2003,University of Vermont,Burlington,VT,05405-016,Public,15,9106,3587000,8994,69.9447513812
2003,Averett University,Danville,VA,24541,Private Not-For-Profit,21,2017,1213058,16800,46.1538461538
2003,Bluefield College,Bluefield,VA,24605,Private Not-For-Profit,32,829,767729,9795,46.1538461538
2003,Bridgewater College,Bridgewater,VA,22812-159,Private Not-For-Profit,31,1351,788986,16090,58.5443037975
2003,College of William and Mary,Williamsburg,VA,23187-879,Public,16,7275,1062009,5088,90.1281085154
2003,Christopher Newport University,Newport News,VA,23606,Public,31,4740,2400471,3546,36.8421052632
2003,Emory and Henry College,Emory,VA,24327-094,Private Not-For-Profit,31,954,750472,14800,56.8527918782
2003,Eastern Mennonite University,Harrisonburg,VA,22802-246,Private Not-For-Profit,31,1185,591498,16370,61.1570247934
2003,Ferrum College,Ferrum,VA,24088-900,Private Not-For-Profit,32,929,1029869,14390,45.4166666667
2003,George Mason University,Fairfax,VA,22030-444,Public,16,19036,6010426,4416,48.6010362694
2003,Hampden-Sydney College,Hampden-Sydney,VA,23943-012,Private Not-For-Profit,31,1034,258806,19893,57.328990228
2003,Hampton University,Hampton,VA,23668-009,Private Not-For-Profit,21,5233,3602962,12252,54.3513957307
2003,Hollins University,Roanoke,VA,24020,Private Not-For-Profit,31,989,609281,18450,64.5320197044
2003,James Madison University,Harrisonburg,VA,22807,Public,21,15066,3349591,4288,79.8953906505
2003,Liberty University,Lynchburg,VA,24502,Private Not-For-Profit,21,6516,5575680,10340,44.0201005025
2003,Longwood University,Farmville,VA,23909,Public,21,3795,1389231,4661,61.2637362637
2003,Lynchburg College,Lynchburg,VA,24501-319,Private Not-For-Profit,21,1725,771868,20185,56.1844863732
2003,University of Mary Washington,Fredericksburg,VA,22401-530,Public,22,4032,908589,3934,71.0396039604
2003,Marymount University,Arlington,VA,22207-429,Private Not-For-Profit,21,2714,1218991,15732,54.4061302682
2003,Norfolk State University,Norfolk,VA,23504-800,Public,21,5763,8642003,3296,28.4341978866
2003,Old Dominion University,Norfolk,VA,23529,Public,15,14150,9194632,3442,41.8032786885
2003,Radford University,Radford,VA,24141-067,Public,21,8507,3444449,3344,54.9722050649
2003,Randolph-Macon College,Ashland,VA,23005-550,Private Not-For-Profit,31,1137,389450,20045,86.6863905325
2003,University of Richmond,Richmond,VA,23173,Private Not-For-Profit,31,3906,489821,22995,81.4666666667
2003,Roanoke College,Salem,VA,24153-379,Private Not-For-Profit,31,1755,918932,19716,60.502283105
2003,The University of Virginia's College at Wise,Wise,VA,24293-440,Public,31,1441,1793189,3844,41.9141914191
2003,Virginia Intermont College,Bristol,VA,24201,Private Not-For-Profit,32,939,1139843,13220,29.2134831461
2003,Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-013,Public,15,25981,7381165,3936,74.2152466368
2003,Virginia Commonwealth University,Richmond,VA,23284-251,Public,15,20537,10118052,3918,42.3908045977
2003,University of Virginia-Main Campus,Charlottesville,VA,22904,Public,15,20238,2740329,4780,92.0027576698
2003,Virginia Military Institute,Lexington,VA,24450-030,Public,31,1299,440451,11672,67.7664974619
2003,Virginia State University,Petersburg,VA,23806,Public,21,4294,6546848,3554,38.7283236994
2003,Virginia Union University,Richmond,VA,23220,Private Not-For-Profit,31,1592,2221932,19604,4.27631578947
2003,Virginia Wesleyan College,Norfolk,VA,23502-559,Private Not-For-Profit,31,1190,894154,18000,47.265625
2003,Washington and Lee University,Lexington,VA,24450-211,Private Not-For-Profit,31,2067,188000,21175,88.3259911894
2003,Central Washington University,Ellensburg,WA,98926-750,Public,21,8413,5767912,3792,52.6892430279
2003,Eastern Washington University,Cheney,WA,99004-249,Public,21,8839,8511079,3582,43.9102564103
2003,The Evergreen State College,Olympia,WA,98505,Public,31,3940,4153193,3591,52.2267206478
2003,Gonzaga University,Spokane,WA,99258-000,Private Not-For-Profit,21,4591,2140077,19495,78.8213627993
2003,Heritage University,Toppenish,WA,98948,Private Not-For-Profit,21,984,1501759,6395,9.09090909091
2003,Northwest University,Kirkland,WA,98083-057,Private Not-For-Profit,32,1074,633878,12758,36.8098159509
2003,University of Puget Sound,Tacoma,WA,98416,Private Not-For-Profit,31,2756,930000,23945,77.4143302181
2003,Saint Martin's University,Lacey,WA,98503-129,Private Not-For-Profit,21,1283,879537,16860,39.4366197183
2003,Seattle Pacific University,Seattle,WA,98119-199,Private Not-For-Profit,21,3119,1231000,17682,62.5
2003,Seattle University,Seattle,WA,98122-434,Private Not-For-Profit,21,5232,2230867,18885,63.5270541082
2003,Walla Walla College,College Place,WA,99324-119,Private Not-For-Profit,21,1750,1372535,16293,49.2753623188
2003,Washington State University,Pullman,WA,99164-100,Public,15,19426,12915895,4864,59.9736379613
2003,University of Washington-Seattle Campus,Seattle,WA,98195-455,Public,15,38280,17553280,4636,70.5016106765
2003,Western Washington University,Bellingham,WA,98225-900,Public,21,12874,6656616,3702,62.330754352
2003,Whitman College,Walla Walla,WA,99362,Private Not-For-Profit,31,1431,377827,24274,85.4054054054
2003,Whitworth College,Spokane,WA,99251,Private Not-For-Profit,21,2045,1223967,18793,71.3567839196
2003,Mountain State University,Beckley,WV,25801-900,Private Not-For-Profit,33,2661,3900124,4570,25.5639097744
2003,Bethany College,Bethany,WV,26032,Private Not-For-Profit,31,884,754892,12766,57.0093457944
2003,Bluefield State College,Bluefield,WV,24701,Public,32,2302,6183612,2598,45.8333333333
2003,University of Charleston,Charleston,WV,25304,Private Not-For-Profit,32,867,1046865,15050,45.641025641
2003,Concord University,Athens,WV,24712,Public,32,2468,2942737,2962,35.3398058252
2003,Fairmont State University,Fairmont,WV,26554-247,Public,32,5570,6436617,2766,41.8518518519
2003,Glenville State College,Glenville,WV,26351-129,Public,32,1790,3495158,2546,28.8043478261
2003,Marshall University,Huntington,WV,25755,Public,21,13131,10051706,2984,38.3388338834
2003,West Virginia University at Parkersburg,Parkersburg,WV,26101,Public,33,2487,3644767,1548,31.1111111111
2003,Shepherd University,Shepherdstown,WV,25443-321,Public,32,3674,2536154,2866,40.9660107335
2003,West Virginia State University,Institute,WV,25112-100,Public,32,3932,5533897,2610,30.0
2003,West Liberty State College,West Liberty,WV,26074,Public,32,2295,2414206,2748,42.8571428571
2003,West Virginia Wesleyan College,Buckhannon,WV,26201-299,Private Not-For-Profit,31,1568,1148540,19300,55.0
2003,West Virginia University,Morgantown,WV,26506-620,Public,15,24202,14623436,3240,62.4860335196
2003,Wheeling Jesuit University,Wheeling,WV,26003,Private Not-For-Profit,21,1381,935985,16713,53.5433070866
2003,Alverno College,Milwaukee,WI,53234-392,Private Not-For-Profit,32,1433,2258170,12750,47.4074074074
2003,Beloit College,Beloit,WI,53511-559,Private Not-For-Profit,31,1240,524859,23236,72.5663716814
2003,Cardinal Stritch University,Milwaukee,WI,53217-398,Private Not-For-Profit,21,5679,1968220,13580,47.8723404255
2003,Carroll College,Waukesha,WI,53186,Private Not-For-Profit,32,2407,1046995,16750,61.0021786492
2003,Carthage College,Kenosha,WI,53140-199,Private Not-For-Profit,22,2108,1186810,19150,54.4303797468
2003,Concordia University-Wisconsin,Mequon,WI,53097-240,Private Not-For-Profit,21,3988,1939503,14560,66.7984189723
2003,Edgewood College,Madison,WI,53711-199,Private Not-For-Profit,21,1735,888207,14200,45.4954954955
2003,Lakeland College,Plymouth,WI,53073,Private Not-For-Profit,32,2180,1349557,13835,45.7516339869
2003,Lawrence University,Appleton,WI,54912,Private Not-For-Profit,31,1349,693061,23667,68.9419795222
2003,Marian College of Fond du Lac,Fond Du Lac,WI,54935-469,Private Not-For-Profit,22,1759,1295170,14195,49.5192307692
2003,Marquette University,Milwaukee,WI,53233,Private Not-For-Profit,15,9850,2792000,19760,76.3509218055
2003,Milwaukee School of Engineering,Milwaukee,WI,53202-310,Private Not-For-Profit,54,2151,996509,20702,56.8914956012
2003,Mount Mary College,Milwaukee,WI,53222-459,Private Not-For-Profit,22,948,887138,14165,57.1428571429
2003,Ripon College,Ripon,WI,54971-024,Private Not-For-Profit,31,977,585536,19500,62.2222222222
2003,Saint Norbert College,De Pere,WI,54115-209,Private Not-For-Profit,32,1999,861091,19084,76.0416666667
2003,Viterbo University,La Crosse,WI,54601-880,Private Not-For-Profit,22,1802,1609588,14300,49.8489425982
2003,University of Wisconsin-Whitewater,Whitewater,WI,53190-179,Public,21,9656,4243096,3737,52.312599681
2003,University of Wisconsin-Eau Claire,Eau Claire,WI,54701,Public,21,10177,4676033,3720,55.8796296296
2003,University of Wisconsin-Green Bay,Green Bay,WI,54311-700,Public,22,4805,2561739,4023,44.1340782123
2003,University of Wisconsin-La Crosse,La Crosse,WI,54601-995,Public,21,8595,3806523,3804,59.5294117647
2003,University of Wisconsin-Oshkosh,Oshkosh,WI,54901,Public,21,9682,4862211,3460,45.6660849331
2003,University of Wisconsin-Parkside,Kenosha,WI,53141-200,Public,22,4004,2929252,3532,31.4049586777
2003,University of Wisconsin-Stout,Menomonie,WI,54751,Public,21,7419,4523737,3758,45.5278001612
2003,University of Wisconsin-Superior,Superior,WI,54880-450,Public,21,2440,2113658,3461,33.4355828221
2003,University of Wisconsin-Madison,Madison,WI,53706-138,Public,15,38068,8346460,4423,75.8236101579
2003,University of Wisconsin-Milwaukee,Milwaukee,WI,53211,Public,15,20217,10959327,4353,38.9084507042
2003,University of Wisconsin-Platteville,Platteville,WI,53818-300,Public,21,5421,3251600,3720,49.4887525562
2003,University of Wisconsin-River Falls,River Falls,WI,54022,Public,21,5275,3034074,3670,54.3706293706
2003,University of Wisconsin-Stevens Point,Stevens Point,WI,54481,Public,21,8186,5123247,3631,55.4682383759
2003,University of Wyoming,Laramie,WY,82071,Public,15,10343,6360029,2997,56.6577301162
2003,University of Guam,Mangilao,GU,96923,Public,21,2442,3372206,3106,35.101010101
2003,American University of Puerto Rico,Bayamon,PR,00960-203,Private Not-For-Profit,55,3834,12747778,3600,31.1594202899
2003,Bayamon Central University,Bayamon,PR,00959,Private Not-For-Profit,21,2886,9059105,4015,22.090729783
2003,Caribbean University-Bayamon,Bayamon,PR,00959-049,Private Not-For-Profit,32,1810,8257690,3510,67.1936758893
2003,Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,00717-999,Private Not-For-Profit,21,8682,23236180,4458,35.8189081225
2003,Universidad Metropolitana,Cupey,PR,00928-134,Private Not-For-Profit,21,6562,21808420,3722,13.5285913529
2003,Inter American University of Puerto Rico-San German,San German,PR,00683-980,Private Not-For-Profit,21,4850,14075156,3416,11.5577889447
2003,Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,00602,Private Not-For-Profit,32,3467,12804130,3416,19.4312796209
2003,Inter American University of Puerto Rico-Arecibo,Arecibo,PR,00614,Private Not-For-Profit,32,3584,13097083,3416,10.6100795756
2003,Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,00794-051,Private Not-For-Profit,32,1719,6296511,3416,25.5208333333
2003,Inter American University of Puerto Rico-Metro,San Juan,PR,00919-129,Private Not-For-Profit,21,7319,20074910,3566,20.1388888889
2003,Inter American University of Puerto Rico-Ponce,Mercedita,PR,00715-160,Private Not-For-Profit,32,3898,15274690,3416,14.7766323024
2003,Inter American University of Puerto Rico-Fajardo,Fajardo,PR,00738-700,Private Not-For-Profit,32,1908,6475815,3416,18.3673469388
